Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17401136,"Vurt (Vurt, #1)",Jeff Noon,"Noon, Jeff",Lauren Beukes,"=""0230768806""","=""9780230768802""",0,Tor,Hardcover,368,2013,1993,,2025/09/21,to-read,to-read (#2490),to-read,,,,0,0
20575425,Wolf in White Van,John Darnielle,"Darnielle, John",,"=""0374292086""","=""9780374292089""",0,"Farrar, Straus and Giroux",Hardcover,211,2014,2014,,2025/09/21,to-read,to-read (#2489),to-read,,,,0,0
845129,Black Wings Has My Angel,Elliott Chaze,"Chaze, Elliott",,"=""1596542136""","=""9781596542136""",0,Black Mask,Paperback,136,2009,1953,,2025/09/21,to-read,to-read (#2488),to-read,,,,0,0
156023123,Annie Bot,Sierra Greer,"Greer, Sierra",,"=""0063312697""","=""9780063312692""",2.0,Mariner Books,Hardcover,240,2024,2024,2025/09/20,2024/12/29,,,read,,,,1,0
215359139,A Campus on Fire,Patrick  O'Dowd,"O'Dowd, Patrick",,"=""1646035291""","=""9781646035298""",0,Regal House Publishing,Paperback,262,2025,,,2025/09/19,to-read,to-read (#2487),to-read,,,,0,0
224046281,Muscle Man: A Novel,Jordan Castro,"Castro, Jordan",,"=""1646222776""","=""9781646222773""",0,Catapult,Hardcover,272,2025,2025,,2025/09/19,to-read,to-read (#2486),to-read,,,,0,0
222376536,The Definitions,Matt  Greene,"Greene, Matt",,"=""1250399343""","=""9781250399342""",0,Henry Holt and Co.,Paperback,176,2025,2025,,2025/09/19,to-read,to-read (#2485),to-read,,,,0,0
75293507,"Never Whistle at Night: An Indigenous Dark Fiction Anthology (Never Whistle at Night, #1)",Shane Hawk,"Hawk, Shane","Theodore C. Van Alst Jr., Stephen Graham Jones, Norris Black, Amber Blaeser-Wardzala, Phoenix Boudreau, Cherie Dimaline, Carson Faust, Kelli Jo Ford, Kate  Hart, David Heska Wanbli Weiden, Brandon Hobson, Darcie Little Badger, Conley Lyons, Nick Medina, Tiffany Morris, Tommy Orange, Mona Susan  Power, Marcie R. Rendon, Waubgeshig Rice, Rebecca Roanhorse, Andrea L. Rogers, Morgan Talty, D.H. Trujillo, Richard Van Camp, Royce Young Wolf, Mathilda Zeller","=""0593468465""","=""9780593468463""",0,Vintage,Paperback,400,2023,2023,,2025/09/18,to-read,to-read (#2484),to-read,,,,0,0
794779,Le Grand Meaulnes,Alain-Fournier,"Alain-Fournier, Alain-Fournier",Frank Davison,"=""0140182829""","=""9780140182828""",0,Penguin Classics,Paperback,206,1994,1913,,2025/09/18,to-read,to-read (#2483),to-read,,,,0,0
222376779,Kaplan's Plot,Jason Diamond,"Diamond, Jason",,"=""1250385911""","=""9781250385918""",0,Flatiron Books,Hardcover,320,2025,2025,,2025/09/18,to-read,to-read (#2482),to-read,,,,0,0
